"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.523013460E-1,2.099999972E-2,4.140000045E-1,-3.420000076E-1,5.374020924E-1
8.572488150E-1,7.299999893E-2,4.370000064E-1,-4.909999967E-1,6.613463557E-1
8.621964260E-1,7.299999893E-2,4.370000064E-1,-4.909999967E-1,6.613463557E-1
8.671444880E-1,7.500000298E-2,4.059999883E-1,-5.320000052E-1,6.734129465E-1
8.720924530E-1,7.500000298E-2,4.059999883E-1,-5.320000052E-1,6.734129465E-1
8.770397870E-1,6.899999827E-2,3.580000103E-1,-6.029999852E-1,7.046516794E-1
8.819872720E-1,6.899999827E-2,3.580000103E-1,-6.029999852E-1,7.046516794E-1
8.869369360E-1,3.599999845E-2,3.400000036E-1,-6.359999776E-1,7.220747702E-1
8.918859630E-1,3.599999845E-2,3.400000036E-1,-6.359999776E-1,7.220747702E-1
8.968354480E-1,-8.999999613E-3,3.400000036E-1,-7.120000124E-1,7.890659162E-1
9.017848030E-1,-8.999999613E-3,3.400000036E-1,-7.120000124E-1,7.890659162E-1
9.067319860E-1,-1.700000092E-2,3.790000081E-1,-7.269999981E-1,8.200359769E-1
9.116798050E-1,-1.700000092E-2,3.790000081E-1,-7.269999981E-1,8.200359769E-1
9.166270320E-1,0.000000000E0,3.459999859E-1,-7.730000019E-1,8.469031782E-1
9.215743970E-1,0.000000000E0,3.459999859E-1,-7.730000019E-1,8.469031782E-1
9.265212430E-1,9.999999776E-3,3.370000124E-1,-8.090000153E-1,8.764416883E-1
9.314682420E-1,9.999999776E-3,3.370000124E-1,-8.090000153E-1,8.764416883E-1
9.364177910E-1,1.999999955E-2,3.630000055E-1,-7.519999743E-1,8.352681996E-1
9.413666060E-1,1.999999955E-2,3.630000055E-1,-7.519999743E-1,8.352681996E-1
9.463141070E-1,1.600000076E-2,3.610000014E-1,-6.990000010E-1,7.868786453E-1
9.512619940E-1,1.600000076E-2,3.610000014E-1,-6.990000010E-1,7.868786453E-1
9.562080610E-1,-9.999999776E-3,2.949999869E-1,-7.599999905E-1,8.153066771E-1
9.611546720E-1,-9.999999776E-3,2.949999869E-1,-7.599999905E-1,8.153066771E-1
9.661019620E-1,9.999999776E-3,2.949999869E-1,-7.609999776E-1,8.162389100E-1
9.710490550E-1,9.999999776E-3,2.949999869E-1,-7.609999776E-1,8.162389100E-1
9.759932360E-1,-2.000000095E-3,2.460000068E-1,-7.360000014E-1,7.760257763E-1
9.809382770E-1,-2.000000095E-3,2.460000068E-1,-7.360000014E-1,7.760257763E-1
9.858855530E-1,4.000000190E-3,2.479999959E-1,-7.030000091E-1,7.454723407E-1
9.908321840E-1,4.000000190E-3,2.479999959E-1,-7.030000091E-1,7.454723407E-1
9.957818610E-1,-3.500000015E-2,2.479999959E-1,-6.800000072E-1,7.246578556E-1
1.000730646E0,-3.500000015E-2,2.479999959E-1,-6.800000072E-1,7.246578556E-1
1.005680097E0,-4.600000009E-2,2.240000069E-1,-6.679999828E-1,7.060566409E-1
1.010629348E0,-4.600000009E-2,2.240000069E-1,-6.679999828E-1,7.060566409E-1
1.015580783E0,-2.600000054E-2,1.990000010E-1,-6.489999890E-1,6.793217104E-1
1.020531578E0,-2.600000054E-2,1.990000010E-1,-6.489999890E-1,6.793217104E-1
1.025475639E0,2.500000037E-2,1.909999996E-1,-6.230000257E-1,6.521004769E-1
1.030421666E0,2.500000037E-2,1.909999996E-1,-6.230000257E-1,6.521004769E-1
1.035364598E0,1.999999955E-2,2.010000050E-1,-5.989999771E-1,6.321407870E-1
1.040308437E0,1.999999955E-2,2.010000050E-1,-5.989999771E-1,6.321407870E-1
1.045253531E0,1.400000043E-2,1.850000024E-1,-6.050000191E-1,6.328080467E-1
1.050198300E0,1.400000043E-2,1.850000024E-1,-6.050000191E-1,6.328080467E-1
1.055148836E0,-2.000000095E-3,1.739999950E-1,-5.640000105E-1,5.902338605E-1
