"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.107105330E-1,-6.499999762E-2,1.049999967E-1,-5.749999881E-1,5.881113715E-1
6.156596280E-1,-6.499999762E-2,1.049999967E-1,-5.749999881E-1,5.881113715E-1
6.206085660E-1,-6.599999964E-2,1.180000007E-1,-6.079999804E-1,6.228514882E-1
6.255575510E-1,-6.599999964E-2,1.180000007E-1,-6.079999804E-1,6.228514882E-1
6.305067820E-1,-5.099999905E-2,1.150000021E-1,-6.039999723E-1,6.169618845E-1
6.354559390E-1,-5.099999905E-2,1.150000021E-1,-6.039999723E-1,6.169618845E-1
6.404021630E-1,-6.800000370E-2,1.289999932E-1,-6.069999933E-1,6.242707671E-1
6.453492480E-1,-6.800000370E-2,1.289999932E-1,-6.069999933E-1,6.242707671E-1
6.502948360E-1,-3.999999911E-2,1.500000060E-1,-5.780000091E-1,5.984847635E-1
6.552408630E-1,-3.999999911E-2,1.500000060E-1,-5.780000091E-1,5.984847635E-1
6.601884400E-1,-3.099999949E-2,1.650000066E-1,-5.180000067E-1,5.445273263E-1
6.651355910E-1,-3.099999949E-2,1.650000066E-1,-5.180000067E-1,5.445273263E-1
6.700825210E-1,-3.599999845E-2,1.809999943E-1,-4.880000055E-1,5.217288598E-1
6.750295160E-1,-3.599999845E-2,1.809999943E-1,-4.880000055E-1,5.217288598E-1
6.799760020E-1,-1.000000047E-3,1.800000072E-1,-5.379999876E-1,5.673138366E-1
6.849226510E-1,-1.000000047E-3,1.800000072E-1,-5.379999876E-1,5.673138366E-1
6.898682240E-1,-2.999999933E-2,2.349999994E-1,-5.500000119E-1,5.988530811E-1
6.948141130E-1,-2.999999933E-2,2.349999994E-1,-5.500000119E-1,5.988530811E-1
6.997615270E-1,-2.500000037E-2,2.060000002E-1,-6.230000257E-1,6.566506165E-1
7.047084960E-1,-2.500000037E-2,2.060000002E-1,-6.230000257E-1,6.566506165E-1
7.096567120E-1,-3.200000152E-2,1.909999996E-1,-5.989999771E-1,6.295283731E-1
7.146045670E-1,-3.200000152E-2,1.909999996E-1,-5.989999771E-1,6.295283731E-1
7.195520520E-1,-8.299999684E-2,1.860000044E-1,-5.970000029E-1,6.307883992E-1
7.244996470E-1,-8.299999684E-2,1.860000044E-1,-5.970000029E-1,6.307883992E-1
7.294479000E-1,-9.000000358E-2,1.570000052E-1,-5.780000091E-1,6.056674110E-1
7.343959570E-1,-9.000000358E-2,1.570000052E-1,-5.780000091E-1,6.056674110E-1
7.393385410E-1,-1.239999980E-1,1.870000064E-1,-5.740000010E-1,6.162961975E-1
7.442827280E-1,-1.239999980E-1,1.870000064E-1,-5.740000010E-1,6.162961975E-1
7.492285890E-1,-1.439999938E-1,2.020000070E-1,-5.320000052E-1,5.869957467E-1
7.541739900E-1,-1.439999938E-1,2.020000070E-1,-5.320000052E-1,5.869957467E-1
7.591238780E-1,-1.430000067E-1,2.039999962E-1,-5.389999747E-1,5.937895024E-1
7.640724510E-1,-1.430000067E-1,2.039999962E-1,-5.389999747E-1,5.937895024E-1
7.690195030E-1,-1.400000006E-1,2.039999962E-1,-5.479999781E-1,6.012653113E-1
7.739669980E-1,-1.400000006E-1,2.039999962E-1,-5.479999781E-1,6.012653113E-1
7.789168400E-1,-1.299999952E-1,2.179999948E-1,-5.789999962E-1,6.321906295E-1
7.838659950E-1,-1.299999952E-1,2.179999948E-1,-5.789999962E-1,6.321906295E-1
