"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.651146510E-1,7.800000161E-2,5.000000075E-2,-5.220000148E-1,5.301584817E-1
5.700605610E-1,7.800000161E-2,5.000000075E-2,-5.220000148E-1,5.301584817E-1
5.750076760E-1,7.800000161E-2,5.000000075E-2,-5.220000148E-1,5.301584817E-1
5.799545660E-1,8.799999952E-2,1.430000067E-1,-5.139999986E-1,5.407300624E-1
5.849015230E-1,8.799999952E-2,1.430000067E-1,-5.139999986E-1,5.407300624E-1
5.898489720E-1,9.300000221E-2,1.599999964E-1,-5.339999795E-1,5.651592496E-1
5.947962510E-1,9.300000221E-2,1.599999964E-1,-5.339999795E-1,5.651592496E-1
5.997462220E-1,9.300000221E-2,1.599999964E-1,-5.339999795E-1,5.651592496E-1
6.046954050E-1,9.300000221E-2,1.599999964E-1,-5.339999795E-1,5.651592496E-1
6.096425970E-1,4.600000009E-2,1.209999993E-1,-4.629999995E-1,4.807556546E-1
6.145903880E-1,4.600000009E-2,1.209999993E-1,-4.629999995E-1,4.807556546E-1
6.195321550E-1,6.700000167E-2,9.700000286E-2,-4.769999981E-1,4.913522148E-1
6.244756900E-1,6.700000167E-2,9.700000286E-2,-4.769999981E-1,4.913522148E-1
6.294220670E-1,5.000000075E-2,9.799999744E-2,-4.679999948E-1,4.807577297E-1
6.343676120E-1,5.000000075E-2,9.799999744E-2,-4.679999948E-1,4.807577297E-1
6.393125030E-1,9.000000358E-2,0.000000000E0,-4.180000126E-1,4.275792455E-1
6.442575660E-1,9.000000358E-2,0.000000000E0,-4.180000126E-1,4.275792455E-1
6.492042200E-1,6.499999762E-2,-3.099999949E-2,-4.300000072E-1,4.359885386E-1
6.541504090E-1,6.499999762E-2,-3.099999949E-2,-4.300000072E-1,4.359885386E-1
6.590964350E-1,6.599999964E-2,-7.199999690E-2,-4.309999943E-1,4.419287211E-1
6.640424680E-1,6.599999964E-2,-7.199999690E-2,-4.309999943E-1,4.419287211E-1
6.689913460E-1,4.399999976E-2,-4.999999888E-3,-4.679999948E-1,4.700904116E-1
